SKU,Name,Parent-SKU,Min - Max,Typ,Standardpreis,Extra-Preis,Warengruppe,Menü/Bildschirm,Schaltflächenname,Schaltflächenfarbe,Schaltflächenstil,Barcode,Kostenpreis,Verpackungsinhalt (Lagerverwaltung),Einheit (Lagerverwaltung),Gewicht,"Tara (Gramm, Verkauf nach Gewicht)",Freigabe-Status,Name auf dem Produktionsbon,Gang,Statistikgruppe,Produktionsanweisung
65,Weißwein Flasche,,,Artikel,14.9,,Getränke,,Weißwein Flasche,BLUE,Akzent,,,,,,,LOCAL,,,default/,
67,Rosè Flasche,,,Artikel,14.9,,Getränke,,Rosè Flasche,BLUE,Akzent,,,,,,,LOCAL,,,,
68,Heiße Schokolade,,,Artikel,3.9,,Getränke 7 %,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Heiße Schokolade,DARK_RED,Hintergrund,,,,,,,LOCAL,,,default/,
69,Schuss,,,Artikel,1.0,,Getränke,,Schuss,BLUE,Akzent,,,,,,,LOCAL,,,default/,
70,Kaffee Crema,,,Artikel,3.1,,Kaffee,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Kaffee Crema,BROWN,Akzent,,,,,,,LOCAL,,,default/Getränke,
71,Milchkaffee,,,Artikel,4.5,,Getränke 7 %,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Milchkaffee,PINK,Hintergrund,,,,,,,LOCAL,,,default/,
72,Espresso,,,Artikel,2.5,,Kaffee,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Espresso,BLACK,Hintergrund,,,,,,,LOCAL,,,default/,
73,Cappuccino,,,Artikel,3.4,,Getränke 7 %,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Cappuccino,BROWN,Hintergrund,,,,,,,LOCAL,,,default/,
74,Espresso Macchiato,,,Artikel,3.0,,Getränke 7 %,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Espresso Macchiato,BLACK,Akzent,,,,,,,LOCAL,,,default/,
75,Latte Macchiato,,,Artikel,4.7,,Getränke 7 %,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Latte Macchiato,YELLOW,Hintergrund,,,,,,,LOCAL,,,default/,
76,Topping Kaffee,,,Artikel,1.0,,Getränke,"Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen",Topping 1€,YELLOW,Hintergrund,,,,,,,LOCAL,,,default/,
77,Gutschein,,,Artikel,,,Gutschein,Kasse Schwarzenbek 14.04.2026/Menü,Gutschein,BLUE,Akzent,,,,,,,LOCAL,,,default/,
78,Rumkugel,,,Artikel,2.5,,Kuchen,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen,Rumkugel,DARK_GRAY,Hintergrund,,,,,,,LOCAL,,,default/,
79,Mandelhörnchen,,,Artikel,2.9,,Kuchen,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen,Mandelhörnchen,YELLOW,Hintergrund,,,,,,,LOCAL,,,default/,
81,Cookie,,,Artikel,2.5,,Kuchen,,Cookie,BLUE,Akzent,,,,,,,LOCAL,,,default/,
82,Sticks Gr.,,,Artikel,4.9,,Eisdessert,,Sticks Gr.,BLUE,Akzent,,,,,,,LOCAL,,,default/,
83,Sticks Kl.,,,Artikel,3.0,,Eisdessert,,Sticks Kl.,BLUE,Akzent,,,,,,,LOCAL,,,default/,
84,Eispranilne,,,Artikel,2.0,,Eisdessert,Kasse Schwarzenbek 14.04.2026/Menü/Eistorten & Eispralinen,Eispranilne,BLUE,Akzent,,,,,,,LOCAL,,,default/,
86,Erdbeerbecher GR,,,Artikel,10.9,,Eisbecher,Kasse Schwarzenbek 14.04.2026/Menü/Eisbecher,Saisonbecher GR,DARK_RED,Hintergrund,,,,,,,LOCAL,,,default/,
87,Erdbeerbecher KL,,,Artikel,8.9,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eisbecher,Saisonbecher KL,LIGHT_RED,Hintergrund,,,,,,,LOCAL,,,default/,
89,Tee Divers,,,Artikel,3.0,,Kaffee,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Tee Divers,PURPLE,Hintergrund,,,,,,,LOCAL,,,,
90,Extra Milch,,,Artikel,0.5,,Kaffee,,Extra Milch,BLUE,Akzent,,,,,,,LOCAL,,,,
91,Lütauer,,,Artikel,3.5,,Getränke,,Lütauer,BLUE,Akzent,,,,,,,LOCAL,,,,
93,"Michlshake 0,3 L",,,Artikel,4.9,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen /Michshake,"Michlshake 0,3 L",LIGHT_RED,Akzent,,,,,,,LOCAL,,,,
94,"Milchshake 0,5 L",,,Artikel,7.7,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen /Michshake,"Milchshake 0,5 L",LIGHT_RED,Hintergrund,,,,,,,LOCAL,,,,
95,"Eisschokolade 0,3 L",,,Artikel,5.5,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen /Eisschokolade & Eiscafe,"Eisschokolade & Eiscafe 0,3 L",BLUE,Akzent,,,,,,,LOCAL,,,,
96,"Eisschokolade 0,5 L",,,Artikel,6.6,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen /Eisschokolade & Eiscafe,"Eisschokolade & Eiscafe 0,5 L",BLUE,Akzent,,,,,,,LOCAL,,,,
99,Frozen Latte,,,Artikel,5.1,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen,"Frozen Latte 0,3 L",YELLOW,Hintergrund,,,,,,,LOCAL,,,,
100,Caffe Frappe,,,Artikel,5.5,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen,"Caffe Frappe 0,3L",BROWN,Hintergrund,,,,,,,LOCAL,,,,
101,Toppig Kaltgetränke,,,Artikel,1.0,,Milchshake,,Toppig Kaltgetränke,BLUE,Akzent,,,,,,,LOCAL,,,,
102,Klassiker,,,Artikel,4.5,,Kuchen,,Roll Stück,BLUE,Akzent,,,,,,,LOCAL,,,,
103,Kuchen Deal,,,Artikel,10.5,,Kuchen,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen/Brownie,Kuchen & Schnecken Deal,BROWN,Hintergrund,,,,,,,LOCAL,,,,
104,Schalen Deal,,,Artikel,12.5,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eisbecher,Schalen Deal,BROWN,Hintergrund,,,,,,,LOCAL,,,,
105,Waffel Deal,,,Artikel,12.5,,Kuchen,,Waffel Deal,BLUE,Akzent,,,,,,,LOCAL,,,,
109,1/2 Kugel,,,Artikel,1.0,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eis,1/2 Kugel,DARK_RED,Akzent,,,,,,,LOCAL,,,,
110,To Go Becher,,,Artikel,0.1,,Eis,,To Go Becher,BLUE,Akzent,,,,,,,LOCAL,,,,
111,Pralinen 100 g,,,Artikel,6.98,,Kuchen,,Pralinen 100 g,BLUE,Akzent,,,,,,,LOCAL,,,,
112,Pralinen 10g,,,Artikel,0.698,,Kuchen,,Pralinen 10g,BLUE,Akzent,,,,,,,LOCAL,,,,
115,"Eiscafé 0,5 L",,,Artikel,6.6,,Getränke 7 %,,Eiscafé,BLUE,Akzent,,,,,,,LOCAL,,,,
120,Waffel mit Puderzucker,,,Artikel,5.5,,Kuchen,,Waffel mit Puderzucker,BLUE,Akzent,,,,,,,LOCAL,,,,
122,Somersby,,,Artikel,4.5,,Getränke,,Somersby,BLUE,Akzent,,,,,,,LOCAL,,,,
123,25 cm,,,Artikel,55.0,,Eis,,25 cm,BLUE,Akzent,,,,,,,LOCAL,,,,
124,20 cm,,,Artikel,45.0,,Eis,,20 cm,BLUE,Akzent,,,,,,,LOCAL,,,,
125,15 cm,,,Artikel,35.0,,Eis,,15 cm,BLUE,Akzent,,,,,,,LOCAL,,,,
127,Premium Kugel,,,Artikel,2.5,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eis,Premium Kugel,DARK_RED,Akzent,,,,,,,LOCAL,,,,
128,"Spezial 0,3 L",,,Artikel,6.9,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen /Michshake,"Spezial 0,3 L",DARK_RED,Akzent,,,,,,,LOCAL,,,,
129,+ Premium,,,Artikel,0.6,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eisbecher,+ Premium,BLUE,Akzent,,,,,,,LOCAL,,,,
130,Nüsse-,,,Artikel,1.5,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eis,Nüsse-,BROWN,Hintergrund,,,,,,,LOCAL,,,,
131,Sosse-,,,Artikel,1.5,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eis,Sosse-,LIGHT_RED,Akzent,,,,,,,LOCAL,,,,
132,Streugut,,,Artikel,0.5,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eis,Streugut,BLUE,Hintergrund,,,,,,,LOCAL,,,,
134,Streugut.,,,Artikel,0.5,,Toppings,,Streugut.,YELLOW,Hintergrund,,,,,,,LOCAL,,,,
135,Divers Getränke,,,Artikel,,,Getränke,,Divers Getränke,GREEN,Hintergrund,,,,,,,LOCAL,,,,
136,Toppings Milchshake,,,Artikel,1.0,,Toppings,,Toppings Milchshake,BLUE,Akzent,,,,,,,LOCAL,,,,
137,Lieblinge,,,Artikel,4.9,,Kuchen,,Lieblinge,BLUE,Akzent,,,,,,,LOCAL,,,,
138,Krönungen,,,Artikel,5.2,,Kuchen,,Krönungen,BLUE,Akzent,,,,,,,LOCAL,,,,
139,Hot Brownie Stück,,,Artikel,4.5,,Kuchen,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen/Brownie,Hot Brownie Stück,DARK_GRAY,Hintergrund,,,,,,,LOCAL,,,,
140,Grüner Gartentraum,,,Artikel,12.9,,Herzhaftes,,Grüner Gartentraum,GREEN,Akzent,,,,,,,LOCAL,,,,
141,Würziger Süden,,,Artikel,13.9,,Herzhaftes,,Würziger Süden,DARK_RED,Akzent,,,,,,,LOCAL,,,,
142,Herzhafter Landgenuss,,,Artikel,13.9,,Eis,,Herzhafter Landgenuss,BROWN,Akzent,,,,,,,LOCAL,,,,
143,Halbe Pinsa,,,Artikel,9.9,,Herzhaftes,,Halbe Pinsa,BLUE,Akzent,,,,,,,LOCAL,,,,
144,Burata,,,Artikel,3.0,,Eis,,Burata,BLUE,Akzent,,,,,,,LOCAL,,,,
145,Extra Salami / Schinken,,,Artikel,2.5,,Eis,,Extra Salami / Schinken,BLUE,Akzent,,,,,,,LOCAL,,,,
146,Spritz Deal,,,Artikel,18.5,,Herzhaftes,,Spritz Deal,BLUE,Akzent,,,,,,,LOCAL,,,,
147,doppelter Espresso,,,Artikel,3.5,,Kaffee,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,doppelter Espresso,DARK_GRAY,Hintergrund,,,,,,,LOCAL,,,,
148,Hot Crumble,,,Artikel,7.5,,Kuchen,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen,Hot Crumble,DARK_RED,Hintergrund,,,,,,,LOCAL,,,,
149,Portion Erdbeeren,,,Artikel,2.5,,Toppings,Kasse Schwarzenbek 14.04.2026/Menü/Eis,Portion Erdbeeren,LIGHT_RED,Hintergrund,,,,,,,LOCAL,,,,
150,Crumbie,,,Artikel,3.9,,Kuchen,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen,Crumbie,BLUE,Akzent,,,,,,,LOCAL,,,,
151,Crumbie Deal,,,Artikel,7.5,,Kuchen,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen,Crumbie Deal,BLUE,Akzent,,,,,,,LOCAL,,,,
12,Milchshake,,1,Gruppe,,,,,Milchshake,BLUE,Akzent,,,,,,,LOCAL,,,default/null,
13,,12,,,,,,,,,,,,,,,,,,,,
15,,12,,,,,,,,,,,,,,,,,,,,
16,,12,,,,,,,,,,,,,,,,,,,,
24,Obst,,1-1,Gruppe,,,,,Nüsse,GREEN,Akzent,,,,,,,LOCAL,,,default/null,
19,,24,,,,,,,,,,,,,,,,,,,,
20,,24,,,,,,,,,,,,,,,,,,,,
21,,24,,,,,,,,,,,,,,,,,,,,
22,,24,,,,,,,,,,,,,,,,,,,,
23,,24,,,,,,,,,,,,,,,,,,,,
32,,24,,,,,,,,,,,,,,,,,,,,
